typo	tf	df	sdf	correct	tf	df	sdf
kalemşör	0	0	1	kalemşor	0	0	0
mentalite	1	1	1	mantalite	0	0	0
kontur	0	0	1	kontör	2	2	2
netekim	1	1	1	nitekim	10	10	10
ıstırap	1	1	1	ızdırap	1	1	1
orjinal	1	1	1	orijinal	20	16	22
seramoni	0	0	1	seremoni	0	0	2
insiyatif	0	0	1	inisiyatif	0	0	4
deyer	1	1	1	değer	156	117	739
akrapol	1	1	1	akropol	0	0	0
egsoz	0	0	0	egzoz	0	0	1
herıld	0	0	0	herhalde	32	24	24
heycan	0	0	0	heyecan	38	32	104
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	5	4	9
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	64	40	40
teferuat	0	0	0	teferruat	0	0	2
herkez	0	0	0	herkes	210	154	346
aptes	0	0	0	abdest	2	2	2
çünki	0	0	0	çünkü	438	320	320
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	1	1	102
alimünyum	0	0	0	alüminyum	19	11	13
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	13	6	7
karnıbahar	0	0	0	karnabahar	2	2	2
rezarvasyon	0	0	0	rezervasyon	15	10	15
rakkam	0	0	0	rakam	56	44	168
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	1
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	68	36	51
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	6	5	6
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	9
ekistra	0	0	0	ekstra	24	22	23
labaratuvar	0	0	0	laboratuvar	20	20	38
taşaron	0	0	0	taşeron	29	15	16
menecer	0	0	0	menajer	8	8	45
poaça	0	0	0	poğaça	0	0	0
distribitör	0	0	0	distribütör	7	4	18
logar	0	0	0	rögar	0	0	0
parağraf	0	0	0	paragraf	3	3	4
alarım	0	0	0	alarm	3	3	6
eşşek	0	0	0	eşek	3	1	1
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	2	2	2
azemi	0	0	0	azami	12	11	11
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	7	7	9
tenbih	0	0	0	tembih	0	0	1
arabeks	0	0	0	arabesk	17	5	5
tanpon	0	0	0	tampon	11	8	8
aperatif	0	0	0	aperitif	0	0	0
atmasyon	0	0	0	uydurma	4	4	6
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	5	4	9
uydurmasyon	0	0	0	uydurma	4	4	6
gazte	0	0	0	gazete	60	57	371
proleterya	0	0	0	proletarya	0	0	1
santranç	0	0	0	satranç	1	1	1
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	8	6	8
gravat	0	0	0	kravat	0	0	0
kurdale	0	0	0	kurdele	2	2	4
kollektif	0	0	0	kolektif	6	6	10
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	6	3	6
meslekdaş	0	0	0	meslektaş	2	1	17
süprüz	0	0	0	sürpriz	50	40	69
kolanya	0	0	0	kolonya	3	2	2
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	7	5	21
ekzantrik	0	0	0	eksantrik	4	4	4
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	199	142	217
döndermek	0	0	0	döndürmek	3	3	3
egsantrik	0	0	0	eksantrik	4	4	4
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	0	0	1
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	8	5	6
cenderme	0	0	0	jandarma	10	9	12
duymamazlık	0	0	0	duymazlık	0	0	2
harfiyat	0	0	0	hafriyat	3	2	2
subap	0	0	0	supap	2	2	2
ukela	0	0	0	ukala	0	0	0
düyüm	0	0	0	düğüm	1	1	4
leyen	0	0	0	leğen	2	2	2
satlık	0	0	0	satılık	3	2	2
ukele	0	0	0	ukala	0	0	0
hakkaten	0	0	0	hakikaten	16	14	14
püsküvüt	0	0	0	bisküvi	5	4	4
prooram	0	0	0	program	60	51	252
opsayd	0	0	0	ofsayt	1	1	1
miğde	0	0	0	mide	83	36	57
tenbel	0	0	0	tembel	0	0	5
karisör	0	0	0	karoser	0	0	1
çinakop	0	0	0	çinekop	4	2	2
sağnak	0	0	0	sağanak	6	4	4
almamazlık	0	0	0	almazlık	0	0	0
fullemek	0	0	0	doldurmak	7	7	7
bilmemezlik	0	0	0	bilmezlik	0	0	2
mürettebatlar	0	0	0	mürettebat	0	0	0
aşşağı	0	0	0	aşağı	33	29	69
mürüvet	0	0	0	mürüvvet	0	0	0
gometri	0	0	0	geometri	1	1	1
valeybol	0	0	0	voleybol	34	17	18
aşırmasyon	0	0	0	aşırma	0	0	0
fasülye	0	0	0	fasulye	13	9	13
arozöz	0	0	0	arazöz	0	0	0
konsansüs	0	0	0	konsensüs	0	0	1
sibop	0	0	0	supap	2	2	2
kirbit	0	0	0	kibrit	0	0	0
askari	0	0	0	asgari	54	26	26
amartisör	0	0	0	amortisör	0	0	0
kitlemek	0	0	0	kilitlemek	6	5	5
tirbüşon	0	0	0	tirbuşon	0	0	0
inkilap	0	0	0	inkılap	2	2	7
tahüt	0	0	0	taahüt	0	0	0
penbe	0	0	0	pembe	16	12	15
menüsküs	0	0	0	menisküs	35	5	5
silahşör	0	0	0	silahşor	0	0	0
oğustos	0	0	0	ağustos	99	71	86
mütaakip	0	0	0	müteakip	11	11	11
tafsiye	0	0	0	tavsiye	76	54	92
komidin	0	0	0	komodin	0	0	0
megoloman	0	0	0	megaloman	0	0	0
matamatik	0	0	0	matematik	7	6	11
nötür	0	0	0	nötr	0	0	3
erzağı	0	0	0	erzakı	0	0	0
ciyer	0	0	0	ciğer	2	1	5
sandöviç	0	0	0	sandviç	0	0	0
kollej	0	0	0	kolej	3	3	10
palyanço	0	0	0	palyaço	0	0	0
amaciyle	0	0	0	amacıyla	169	157	157
birfiil	0	0	0	bilfiil	0	0	0
keşki	0	0	0	keşke	29	21	21
eyitim	0	0	0	eğitim	383	180	256
takikardi	0	0	0	taşikardi	2	2	2
tamüden	0	0	0	taamüden	0	0	0
tiskinmek	0	0	0	tiksinmek	0	0	0
izalasyon	0	0	0	izolasyon	1	1	3
romörkör	0	0	0	römorkör	0	0	0
eşortman	0	0	0	eşofman	0	0	0
pattiz	0	0	0	patates	6	5	6
kopye	0	0	0	kopya	4	3	14
erezyon	0	0	0	erozyon	1	1	1
kiprik	0	0	0	kirpik	1	1	1
entellektüel	0	0	0	entelektüel	3	3	5
akapunktur	0	0	0	akupunktur	5	1	1
kavonoz	0	0	0	kavanoz	0	0	1
ağostos	0	0	0	ağustos	99	71	86
tükrük	0	0	0	tükürük	6	5	5
sıvas	0	0	0	sivas	26	20	32
salomanje	0	0	0	salamanje	0	0	0
bugünki	0	0	0	bugünkü	59	53	53
kominist	0	0	0	komünist	7	6	6
fites	0	0	0	vites	10	7	8
şayibe	0	0	0	şaibe	2	1	4
nalet	0	0	0	lanet	0	0	3
felan	0	0	0	falan	22	15	17
ziğnet	0	0	0	ziynet	48	16	16
aşofman	0	0	0	eşofman	0	0	0
anartar	0	0	0	anahtar	19	15	26
çukolata	0	0	0	çikolata	44	18	18
sitriptiz	0	0	0	striptiz	0	0	0
anlamamazlık	0	0	0	anlamazlık	0	0	0
veleybol	0	0	0	voleybol	34	17	18
tasviye	0	0	0	tasfiye	6	3	4
ilüzyon	0	0	0	illüzyon	0	0	2
üzre	0	0	0	üzere	538	421	424
egzost	0	0	0	egzoz	0	0	1
şindi	0	0	0	şimdi	336	227	357
muhattap	0	0	0	muhatap	28	24	31
sovan	0	0	0	soğan	8	7	10
tasfir	0	0	0	tasvir	7	7	8
birhaber	0	0	0	bihaber	1	1	1
kozmatik	0	0	0	kozmetik	25	18	20
kanpanya	0	0	0	kampanya	25	22	74
riks	0	0	0	risk	136	86	231
variyetli	0	0	0	zengin	83	71	113
tahamül	0	0	0	tahammül	3	3	12
müsbet	0	0	0	müspet	3	3	3
antiparantez	0	0	0	antrparantez	0	0	0
acizane	0	0	0	naçizane	4	4	4
tolorans	0	0	0	tolerans	3	1	5
tanımamazlık	0	0	0	tanımazlık	0	0	0
deynek	0	0	0	değnek	0	0	1
masus	0	0	0	mahsus	1	1	1
istepne	0	0	0	stepne	0	0	0
acitasyon	0	0	0	ajitasyon	1	1	1
opörlör	0	0	0	hoparlör	5	4	9
ezzane	0	0	0	eczane	8	7	18
karegrafi	0	0	0	koreografi	4	4	11
tenefüs	0	0	0	teneffüs	0	0	1
tesbit	0	0	0	tespit	179	145	178
üvertür	0	0	0	uvertür	0	0	0
profütürül	0	0	0	profiterol	0	0	0
istakoz	0	0	0	ıstakoz	0	0	1
maktül	0	0	0	maktul	0	0	1
merağını	0	0	0	merakını	4	4	4
taxi	0	0	0	taksi	14	9	53
eskirim	0	0	0	eskrim	4	2	2
hukuğun	0	0	0	hukukun	27	19	24
yannız	0	0	0	yalnız	77	65	140
lağbo	0	0	0	lavabo	0	0	0
deyinmek	0	0	0	değinmek	0	0	0
usül	0	0	0	usul	12	10	33
mahlukatlar	0	0	0	mahlukat	0	0	0
motorsiklet	0	0	0	motosiklet	10	7	12
profütür	0	0	0	profiterol	0	0	0
egzos	0	0	0	egzoz	0	0	1
salomance	0	0	0	salamanje	0	0	0
kontür	0	0	0	kontör	2	2	2
karayca	0	0	0	karaimce	0	0	0
tetanoz	0	0	0	tetanos	1	1	1
biodizel	0	0	0	biyodizel	0	0	0
gardolap	0	0	0	gardırop	0	0	0
teşebüs	0	0	0	teşebbüs	1	1	8
eksozt	0	0	0	egzoz	0	0	1
kaysı	0	0	0	kayısı	19	13	13
çukulata	0	0	0	çikolata	44	18	18
yalnış	0	0	0	yanlış	200	128	167
megolaman	0	0	0	megaloman	0	0	0
lavobo	0	0	0	lavabo	0	0	0
meyva	0	0	0	meyve	101	64	94
seyehat	0	0	0	seyahat	36	27	42
gangaster	0	0	0	gangster	2	2	2
kaparo	0	0	0	kapora	1	1	1
entrasan	0	0	0	enteresan	5	5	7
bisküüt	0	0	0	bisküvi	5	4	4
azarbeycan	0	0	0	azerbaycan	68	36	51
şanzuman	0	0	0	şanzıman	13	8	10
azerbeycan	0	0	0	azerbaycan	68	36	51
münübüs	0	0	0	minibüs	3	1	2
ötenazi	0	0	0	ötanazi	0	0	0
sandoviç	0	0	0	sandviç	0	0	0
deyil	0	0	0	değil	1113	614	751
ahpab	0	0	0	ahbap	1	1	1
pisküvi	0	0	0	bisküvi	5	4	4
törörist	0	0	0	terörist	18	10	19
mefta	0	0	0	mevta	0	0	1
kırahathane	0	0	0	kıraathane	1	1	1
sohpet	0	0	0	sohbet	53	43	52
kipri	0	0	0	kirpi	0	0	2
tadilatlar	0	0	0	tadilat	6	5	5
ceryan	0	0	0	cereyan	7	7	7
yanlız	0	0	0	yalnız	77	65	140
mundar	0	0	0	murdar	0	0	0
kokareç	0	0	0	kokoreç	0	0	0
candarma	0	0	0	jandarma	10	9	12
nülüfer	0	0	0	nilüfer	17	10	10
poça	0	0	0	poğaça	0	0	0
karsör	0	0	0	karoser	0	0	1
radyosyon	0	0	0	radyasyon	23	14	18
halisünasyon	0	0	0	halüsinasyon	0	0	0
ilizyon	0	0	0	illüzyon	0	0	2
istambul	0	0	0	istanbul	1114	579	678
parlemento	0	0	0	parlamento	24	20	65
trabzan	0	0	0	tırabzan	0	0	0
nisbet	0	0	0	nispet	1	1	7
klavuz	0	0	0	kılavuz	1	1	7
olaraktan	0	0	0	olarak	3886	1752	1752
dabruka	0	0	0	darbuka	0	0	0
gaste	0	0	0	gazete	60	57	371
tribuşon	0	0	0	tirbuşon	0	0	0
ıstırar	0	0	0	ıztırar	0	0	0
ultrasyon	0	0	0	ultrason	9	8	21
kavaltı	0	0	0	kahvaltı	27	18	24
muacir	0	0	0	muhacir	5	4	5
komünükasyon	0	0	0	komünikasyon	0	0	0
mağma	0	0	0	magma	0	0	0
beyenmek	0	0	0	beğenmek	1	1	1
mazohist	0	0	0	mazoşist	0	0	0
okşizen	0	0	0	oksijen	15	12	21
panaroma	0	0	0	panorama	0	0	0
çekinser	0	0	0	çekimser	4	3	3
eksoz	0	0	0	egzoz	0	0	1
labaratuar	0	0	0	laboratuvar	20	20	38
laylon	0	0	0	naylon	2	2	2
revanş	0	0	0	rövanş	4	3	8
techizat	0	0	0	teçhizat	2	2	3
payton	0	0	0	fayton	0	0	0
müsayit	0	0	0	müsait	9	8	8
aliminyum	0	0	0	alüminyum	19	11	13
mahsuz	0	0	0	mahsus	1	1	1
vürüs	0	0	0	virüs	40	16	38
aporlor	0	0	0	hoparlör	5	4	9
statyum	0	0	0	stadyum	6	4	28
yannış	0	0	0	yanlış	200	128	167
muaffak	0	0	0	muvaffak	2	1	1
parlementer	0	0	0	parlamenter	20	12	12
nacizane	0	0	0	naçizane	4	4	4
parelel	0	0	0	paralel	63	47	55
istihbaratlar	0	0	0	istihbarat	20	15	15
karemel	0	0	0	karamel	1	1	1
manüpülasyon	0	0	0	manipülasyon	3	1	4
fesetmek	0	0	0	feshetmek	0	0	0
kilot	0	0	0	külot	0	0	0
herkeş	0	0	0	herkes	210	154	346
pisküüt	0	0	0	bisküvi	5	4	4
dekaratör	0	0	0	dekoratör	0	0	0
proğram	0	0	0	program	60	51	252
alobora	0	0	0	alabora	2	2	2
fermar	0	0	0	fermuar	0	0	1
kapşon	0	0	0	kapüşon	0	0	0
pantalon	0	0	0	pantolon	3	3	5
muşanba	0	0	0	muşamba	1	1	1
evye	0	0	0	eviye	0	0	0
şohben	0	0	0	şofben	0	0	0
aşentiyon	0	0	0	eşantiyon	0	0	0
artiz	0	0	0	artist	11	6	13
kordale	0	0	0	kurdele	2	2	4
dispirator	0	0	0	distribütör	7	4	18
aferim	0	0	0	aferin	0	0	0
mokasen	0	0	0	makosen	0	0	0
pisiklet	0	0	0	bisiklet	50	16	24
provakatör	0	0	0	provokatör	0	0	0
dökümanter	0	0	0	dokümanter	0	0	0
yımırta	0	0	0	yumurta	57	24	44
aldırmamazlık	0	0	0	aldırmazlık	0	0	0
anotomi	0	0	0	anatomi	0	0	11
oğostos	0	0	0	ağustos	99	71	86
assubay	0	0	0	astsubay	2	2	2
meraba	0	0	0	merhaba	11	11	11
prolüfütür	0	0	0	profiterol	0	0	0
ayrıyeten	0	0	0	ayrıca	569	468	478
mazurat	0	0	0	maruzat	0	0	0
sandüviç	0	0	0	sandviç	0	0	0
oparasyon	0	0	0	operasyon	61	45	101
gömetri	0	0	0	geometri	1	1	1
peştemal	0	0	0	peştamal	0	0	0
arefe	0	0	0	arife	1	1	3
müraccat	0	0	0	müracaat	14	10	15
mazohizm	0	0	0	mazoşizm	0	0	0
melemen	0	0	0	menemen	2	2	2
aşantiyon	0	0	0	eşantiyon	0	0	0
kurdela	0	0	0	kurdele	2	2	4
mütahit	0	0	0	müteahhit	5	2	4
ahlağın	0	0	0	ahlakın	1	1	4
evsane	0	0	0	efsane	37	27	50
mürivet	0	0	0	mürüvvet	0	0	0
ahçı	0	0	0	aşçı	3	2	4
parende	0	0	0	perende	0	0	0
sudyen	0	0	0	sütyen	0	0	0
ıskonto	0	0	0	iskonto	8	4	4
amarika	0	0	0	amerika	82	66	171
gangren	0	0	0	kangren	0	0	1
restorant	0	0	0	restoran	17	13	28
dekarasyon	0	0	0	dekorasyon	9	3	5
boğça	0	0	0	poğaça	0	0	0
muzur	0	0	0	muzır	0	0	0
layik	0	0	0	laik	14	10	14
eylenmek	0	0	0	eğlenmek	3	3	3
fortmanto	0	0	0	portmanto	0	0	0
çiflik	0	0	0	çiftlik	2	2	5
sarmısak	0	0	0	sarımsak	37	3	3
küvöz	0	0	0	kuvöz	2	1	3
bilader	0	0	0	birader	0	0	0
karekter	0	0	0	karakter	44	29	79
egzantrik	0	0	0	eksantrik	4	4	4
pardesü	0	0	0	pardösü	0	0	0
